Virus,,,,,,,,,,Ecology,,,,,,Basic Info,,,,,,Pathogenesis,,,,,,,,,,,,,,,Extrinsic Factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case report,,,,,,,,,,,,,,
Virus_Name,Order,Family,Genus,Zoonotic,sOrigin,Spillover Direction,Host Species,Spillover Species,WildDomCap,Transmission_Mode,Transmission_Route,Shedding_Route,Vector,Host,Host_Range,DNAorRNA,Stranded,Virus diameter (nm),Envelope,Segmented,GenomeAveLenght (bp),Replication_Site,Attachment_Site,Spread_Mechanism,Entry_Mechanism,Cell_Receptor,Receptor_Distribution,Shedding_Period,Shedding_Length,Mortality_Rate,Viraemia,Cell_Tropism ,Systems/organs affected,Incubation Period,Reference,Reference,unclear,change in host distribution,change in host abundance,reservoir epidemic,change in vector distribution,change in vector abundance,change in vector control,introduced/invasive species,human-animal contact,livestock- and domestic-wildlife interface,encroachment,hunting,provisioning,local livestock production,industrial livestock production,agricultural activity,aquaculture,wetland cultivation,deforestation,reforestation,logging,mining,irrigation,dam building,human demographic change,human population density,urbanization,climate change,food contamination,water contamination,soil contamination,Vehicle contamination,sewage management,road building,international movement of animal,intranational movement of animals,socioeconomic change,cultural/religious beliefs or practices,public health infrastructure,vaccination breakdown,ineffective vaccine,Incomplete vaccination coverage ,immunosuppression,co-infection,war/conflict,famine,malnourishment,natural disasters,weather conditions,Reference_DOI,First.Author,Publication.Year,Notes,Reservoir,Occurence Date,Location,Scenario,Clin Disease ,Histopath,Fatalities,Seroprevalence,N of cases/positive samples,%Seropositive,Serotype/Strains,Transmission,Other,Type of study,Case_Reference
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,NA (should be China according to following research papers),D-W?,Domestic pigs,Wild boars,Wild,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/ ,Fenner's Veterinary Virology,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4142/jvs.2017.18.2.201,Lim SI,2017,"The YC11WB isolate (from wild boars) produced more serious symptoms
and higher mortality in breeding pigs than those from the SW03
isolate (from domestic pigs) ——better look at this paper again",,,,,,,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,China,W-D,Wild boars,Domestic pigs,Domestic,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.vetmic.2018.09.020,An DJ,2018,"The YC16CS (subgenotype 2.1d) strain of CSFV isolated from infected breeding pigs in
Yeoncheon province (near the demilitarized zone) in 2016 shows high
nt and aa sequence identity with the PC11WB strain (subgenotype 2.1d) isolated from Korean wild boar in 2011 (phylogenetic study, NOT all original data)",,,,,,,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,"Nepal, China, India",D-W,"domestic, wild and pygmy hogs",Wild hogs,Wild,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1111/tbed.12298,Barman NN,2016,"the ‘spill over’ and
‘reverse spill over’ of CSFV infections among wild and
domestic population in endemic areas; CSF infection is endemic in wild hog in Assam, India and might act as a viral
reservoir that poses a constant threat to domestic pigs; backyard pig farming, highly mobile
pigs and their products through live animal markets are
main contributing factors in the endemic nature of CSF
in India.",,,"Assam, Northeast India (Kaziranga National Park, Manas National
Park, Jaldapara
National Park in Assam–Bengal border district of West
Bengal)","On three occasions CSF has been suspected in wild hog
found dead in the forest",,,5,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0," Eastern European countries (retrospective studies, should it be divided into different countries)","D-W, W-D","Domestic pigs, wild boars","Domestic pigs, wild boars",,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.1016/j.vetmic.2010.05.035,Blome S,2010,Review article? ——better look at this paper again; illegal swill feeding,,,,,,,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,China,D-W,Domestic pigs,Wild boars,Wild,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.tvjl.2011.04.007,David D,2011,Reservoir epidemic&livestock- and domestic-wildlife interface: All CSFV-positive wild boars were from northern Israel and two were close to the infected farm,Domestic pigs,2009,"Fassuta, northern Israel",The outbreak occurred on a domestic pig farm in northern Israel in Feb 2009 and affected domestic pigs and wild boar,,,,,"17 (16, 1 from different source)",,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,Western and central European countries,W-D,Wild boars,Domestic pigs,Domestic,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0378-1135(03)00200-1,Jemersić L,2003,"Isolate 5 from Istria, Croatian only; can’t find enough info for other isolates in domestic and wild pigs (4 -9); genotype 2.3 is probably endemic in wild boars in western and central European countries; Genotyping articlel; hunting: owner is a hunter &swill feeding",Wild boars,1 July 1999,"Istria, Croatian","Isolate 5, genotype 2.3, Istria, Croatian; genotype 2.3 is probably endemic in wild boars in western and central European countries",,,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,"Germany, Luxemburg",W-D,Wild boars,Domestic pigs,Domestic,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/j.vetmic.2013.06.032,Simon G,2013,"both Moselle outbreaks were contiguous with the wild boar and domestic pig
outbreaks that occurred in Luxemburg and Germany at the same time;    introduced/invasive species & international movement of animal: the virus had been introduced in the farm following indirect contact with infected pigs from Luxemburg or Germany",Wild boars,April 2002,"Moselle, north-eastern area of France",1 Wild boar and 1 domestic pig,"fever, cough,
and diarrhoea and had cyanosed marks on their bodies. The
mortality rate attained 20 animals per day",,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,,W-D,Wild boars,Domestic pigs,"Domestic, free-ranging","Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0378-1135(01)00424-2,Biagetti M,2001,"CSF endemic in wild boar, contact of free ranging pigs with wild boar is a frequent source of infection; genotype 2.3",Wild boars,1997,"Nuoro, Sardinia, Italy",,,,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,"Germany, Poland","D-W, D-D",Domestic pigs,"Wild boars, domestic pigs","Wild, domestic","Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0378-1135(01)00424-2,Biagetti M,2001,Sporadic outbreak in mainland Italy in wild boar and domestic pigs; genotype 2.3—— not sure if it counts;   introduced/invasive species : import infected animal?,,"1991, 1992","Parma, Emilia Romagna, Italy; Latium, Italy",,,,,,,,,,,,
Classical Swine Fever,Amarillovirales,Flaviviridae,Pestivirus,0,Austria,"D-W, W-W","Domestic pigs, wild boars (captive)",Wild boars,Free-ranging,"Direct/indirect contact, Vertical","excretions, secretions, and fomites (such as shoes, clothing, and
vehicles), feeding with garbage and
kitchen scrap; pregnant sow to fetuses","saliva, lacrimal secretions, urine, feces, and semen",N,"Domestic pigs, European wild boar, common warthogs and bushpigs",Narrow (Suidae family),RNA,SS,40-60,enveloped,FALSE,12240.5,Tonsils,,"surrounding lymphoid tissues, spleen, bone marrow, and visceral lymph nodes",receptor mediated endocytosis,"porcine complement regulatory protein CD 46, heparan sulfates,   glycoproteins E2, Erns",,life-long,continuously or intermittently,Up to 100%,,"vascular endothelium, mononuclear phagocytic cells, and other cells of the
immune system","lymphoid, respiratory, gastrointestinal, CNS, spleen, kidney ",acute: 2-7 d; chronic: up to 1 mo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5408692/,Fenner's Veterinary Virology,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1016/s0378-1135(01)00424-2,Biagetti M,2001,"Piacenza Epidemic (1995); genotype 2.2; started with a mixed farm of domestic pigs and wild boars, then spread to free-ranging wild boars around —— one or two events?    Food contaminant & swill feeding: contaminated swill feeding??",,1995,"Piacenza, Emilia Romagna, Italy","started with a mixed farm of domestic pigs and wild boars, then spread to free-ranging wild boars around",,,,,,,,,,,
