STUDY_ID,REVIEWERS,INCLUDE,PMID,Title,Authors,Citation,First.Author,Journal.Book,Publication.Year,Create.Date,PMCID,NIHMS.ID,DOI
1,Jonny,YES,28430168,Classical Swine Fever-An Updated Review,"Blome S, Staubach C, Henke J, Carlson J, Beer M.",Viruses. 2017 Apr 21;9(4):86. doi: 10.3390/v9040086.,Blome S,Viruses,2017,22/04/2017,PMC5408692,,10.3390/v9040086
2,Jonny,maybe,28040311,Foot-and-mouth disease vaccines,"Diaz-San Segundo F, Medina GN, Stenfeldt C, Arzt J, de Los Santos T.",Vet Microbiol. 2017 Jul;206:102-112. doi: 10.1016/j.vetmic.2016.12.018. Epub 2016 Dec 19.,Diaz-San Segundo F,Vet Microbiol,2017,02/01/2017,,,10.1016/j.vetmic.2016.12.018
6,Jonny,YES,30870139,"Reemergence of Classical Swine Fever, Japan, 2018","Postel A, Nishi T, Kameyama KI, Meyer D, Suckstorff O, Fukai K, Becher P.",Emerg Infect Dis. 2019 Jun;25(6):1228-1231. doi: 10.3201/eid2506.181578. Epub 2019 Jun 17.,Postel A,Emerg Infect Dis,2019,15/03/2019,PMC6537743,,10.3201/eid2506.181578
9,Jonny,maybe,30902589,Detection of a novel tick-borne flavivirus and its serological surveillance,"Shimoda H, Hayasaka D, Yoshii K, Yokoyama M, Suzuki K, Kodera Y, Takeda T, Mizuno J, Noguchi K, Yonemitsu K, Minami S, Kuwata R, Takano A, Maeda K.",Ticks Tick Borne Dis. 2019 Jun;10(4):742-748. doi: 10.1016/j.ttbdis.2019.03.006. Epub 2019 Mar 16.,Shimoda H,Ticks Tick Borne Dis,2019,24/03/2019,,,10.1016/j.ttbdis.2019.03.006
11,Jonny,YES,31383300,Genotyping of Pestivirus A (Bovine Viral Diarrhea Virus 1) detected in faeces and in other specimens of domestic and wild ruminants at the wildlife-livestock interface,"Ricci S, Bartolini S, Morandi F, Cuteri V, Preziuso S.",Vet Microbiol. 2019 Aug;235:180-187. doi: 10.1016/j.vetmic.2019.07.002. Epub 2019 Jul 8.,Ricci S,Vet Microbiol,2019,07/08/2019,,,10.1016/j.vetmic.2019.07.002
13,Jonny,maybe,31213271,Evaluation of novel inactivated vaccine for type C foot-and-mouth disease in cattle and pigs,"You SH, Jo HE, Choi JH, Ko MK, Shin SH, Lee MJ, Kim SM, Kim B, Park JH.",Vet Microbiol. 2019 Jul;234:44-50. doi: 10.1016/j.vetmic.2019.05.016. Epub 2019 May 23.,You SH,Vet Microbiol,2019,20/06/2019,,,10.1016/j.vetmic.2019.05.016
26,Jonny,maybe,25384138,Pestiviruses,"Schweizer M, Peterhans E.",Annu Rev Anim Biosci. 2014 Feb;2:141-63. doi: 10.1146/annurev-animal-022513-114209. Epub 2013 Nov 6.,Schweizer M,Annu Rev Anim Biosci,2014,11/11/2014,,,10.1146/annurev-animal-022513-114209
27,Jonny,maybe,30876888,Identification of a zoonotic genotype 3 hepatitis E subtype in wildlife in north-eastern Italy,"Zecchin B, Schivo A, Milani A, Fusaro A, Zamperin G, Bellinati L, Ceglie L, Natale A, Bonfanti L, Cunial G, Obber F, Di Bartolo I, Citterio C, Monne I.",Infect Genet Evol. 2019 Jul;71:16-20. doi: 10.1016/j.meegid.2019.03.005. Epub 2019 Mar 12.,Zecchin B,Infect Genet Evol,2019,17/03/2019,,,10.1016/j.meegid.2019.03.005
30,Jonny,YES,28470362,Pathogen Exposure in Cattle at the Livestock-Wildlife Interface,"Rajeev M, Mutinda M, Ezenwa VO.",Ecohealth. 2017 Sep;14(3):542-551. doi: 10.1007/s10393-017-1242-0. Epub 2017 May 3.,Rajeev M,Ecohealth,2017,05/05/2017,,,10.1007/s10393-017-1242-0
35,Jonny,maybe,31551078,Spatial and seasonal patterns of FMD primary outbreaks in cattle in Zimbabwe between 1931 and 2016,"Guerrini L, Pfukenyi DM, Etter E, Bouyer J, Njagu C, Ndhlovu F, Bourgarel M, de Garine-Wichatitsky M, Foggin C, Grosbois V, Caron A.",Vet Res. 2019 Sep 24;50(1):73. doi: 10.1186/s13567-019-0690-7.,Guerrini L,Vet Res,2019,26/09/2019,PMC6760110,,10.1186/s13567-019-0690-7
36,Jonny,maybe,29981712,Synthetic RNA derived from the foot-and-mouth disease virus genome elicits antiviral responses in bovine and porcine cells through IRF3 activation,"Rodríguez Pulido M, Del Amo L, Sobrino F, Sáiz M.",Vet Microbiol. 2018 Jul;221:8-12. doi: 10.1016/j.vetmic.2018.05.015. Epub 2018 May 24.,Rodríguez Pulido M,Vet Microbiol,2018,09/07/2018,,,10.1016/j.vetmic.2018.05.015
39,Jonny,maybe,24911887,"Rabies and rabies virus in wildlife in mainland China, 1990-2013","Wang L, Tang Q, Liang G.",Int J Infect Dis. 2014 Aug;25:122-9. doi: 10.1016/j.ijid.2014.04.016. Epub 2014 Jun 6.,Wang L,Int J Infect Dis,2014,10/06/2014,,,10.1016/j.ijid.2014.04.016
42,Jonny,maybe,28407381,Arrival of rabbit haemorrhagic disease virus 2 to northern Europe: Emergence and outbreaks in wild and domestic rabbits (Oryctolagus cuniculus) in Sweden,"Neimanis AS, Ahola H, Zohari S, Larsson Pettersson U, Bröjer C, Capucci L, Gavier-Widén D.",Transbound Emerg Dis. 2018 Feb;65(1):213-220. doi: 10.1111/tbed.12650. Epub 2017 Apr 13.,Neimanis AS,Transbound Emerg Dis,2018,14/04/2017,,,10.1111/tbed.12650
44,Jonny,NO,31242222,RNA virus spillover from managed honeybees (Apis mellifera) to wild bumblebees (Bombus spp.),"Alger SA, Burnham PA, Boncristiani HF, Brody AK.",PLoS One. 2019 Jun 26;14(6):e0217822. doi: 10.1371/journal.pone.0217822. eCollection 2019.,Alger SA,PLoS One,2019,27/06/2019,PMC6594593,,10.1371/journal.pone.0217822
52,Jonny,maybe,29655214,"Molecular and serological surveillance of Hepatitis E virus in wild and domestic carnivores in Brandenburg, Germany","Dähnert L, Conraths FJ, Reimer N, Groschup MH, Eiden M.",Transbound Emerg Dis. 2018 Oct;65(5):1377-1380. doi: 10.1111/tbed.12877. Epub 2018 Apr 14.,Dähnert L,Transbound Emerg Dis,2018,15/04/2018,,,10.1111/tbed.12877
63,Jonny,YES,31230453,Country-wide distribution of bluetongue virus with expanding host spectrum and evidence of vector competence in Hungary,"Domán M, Marton S, Malik P, Bányai K, Hornyák Á.",Acta Virol. 2019;63(2):229-234. doi: 10.4149/av_2019_213.,Domán M,Acta Virol,2019,25/06/2019,,,10.4149/av_2019_213
64,Jonny,maybe,31038322,Peste des petits ruminants in Africa: Meta-analysis of the virus isolation in molecular epidemiology studies,"Mantip SE, Shamaki D, Farougou S.",Onderstepoort J Vet Res. 2019 Mar 26;86(1):e1-e15. doi: 10.4102/ojvr.v86i1.1677.,Mantip SE,Onderstepoort J Vet Res,2019,01/05/2019,PMC6556936,,10.4102/ojvr.v86i1.1677
66,Jonny,maybe,28384059,Potential Sympatric Vectors and Mammalian Hosts of Venezuelan Equine Encephalitis Virus in Southern Mexico,"Sotomayor-Bonilla J, Abella-Medrano CA, Chaves A, Álvarez-Mendizábal P, Rico-Chávez Ó, Ibáñez-Bernal S, Rostal MK, Ojeda-Flores R, Barbachano-Guerrero A, Gutiérrez-Espeleta G, Aguirre AA, Daszak P, Suzán G.",J Wildl Dis. 2017 Jul;53(3):657-661. doi: 10.7589/2016-11-249. Epub 2017 Apr 6.,Sotomayor-Bonilla J,J Wildl Dis,2017,07/04/2017,,,10.7589/2016-11-249
